"songID","songName","gameID_id","length","videoURL","imageURL"
"2","I. Dogma","1","45000000","https://www.youtube.com/watch?v=7o9W-7JHs_w",""
"3","Rip & Tear","1","258000000","https://www.youtube.com/watch?v=vyA1z2A-lhU",""
"4","Rust Dust & Guts","1","461000000","https://www.youtube.com/watch?v=pZB9cxJoLgk",""
"5","II. DEMIGOD","1","50000000","https://www.youtube.com/watch?v=L27BrUg4lG8",""
"6","Hellwalker (Sign of Evil)","1","307000000","https://www.youtube.com/watch?v=CjbANqQqxcA",""
"7","Authorization; Olivia Pierce","1","143000000","https://www.youtube.com/watch?v=tsryWtOZ010",""
"8","Flesh & Metal","1","422000000","https://www.youtube.com/watch?v=IyKEijqG82g",""
"9","Impure Spectrum","1","105000000","https://www.youtube.com/watch?v=TsDAY7YcCys",""
"10","Ties Than Bind","1","127000000","https://www.youtube.com/watch?v=VOV2Dh2W8_c",""
"11","BFG Division","1","510000000","https://www.youtube.com/watch?v=EHM2OIcG8Ok",""
"12","Residual","1","83000000","https://www.youtube.com/watch?v=nD5ssUt73LY",""
"13","Argent Energy","1","184000000","https://www.youtube.com/watch?v=LaQrORUWec0",""
"14","Harbinger","1","435000000","https://www.youtube.com/watch?v=xzlz2oUJlAs",""
"15","Biowaves","1","137000000","https://www.youtube.com/watch?v=VYHIpx8RVmk",""
"16","Transistor Fist","1","371000000","https://www.youtube.com/watch?v=fDs3wd9inQk",""
"17","Dr. Samuel Hayden","1","249000000","https://www.youtube.com/watch?v=YtxO7eSmYQU",""
"18","Cyberdemon","1","381000000","https://www.youtube.com/watch?v=aFmIS-4GTwo",""
"19","Incantation","1","215000000","https://www.youtube.com/watch?v=A-1DLeuxC0M",""
"20","III. DAKHMA","1","138000000","https://www.youtube.com/watch?v=-fVynlsxkeg",""
"21","Damnation","1","401000000","https://www.youtube.com/watch?v=_3VHzhVaIts",""
"22","The Stench","1","173000000","https://www.youtube.com/watch?v=GX47QeNeZjQ",""
"23","UAC Report File; SHTO36U3","1","187000000","https://www.youtube.com/watch?v=udCvNyopFRI",""
"24","Death & Exhale","1","229000000","https://www.youtube.com/watch?v=A02t5hx1sHM",""
"25","SkullHacker","1","437000000","https://www.youtube.com/watch?v=wKSVH5gd3oQ",""
"26","Lazarus Waves","1","220000000","https://www.youtube.com/watch?v=OvWttQpM_Qw",""
"27","VEGA Core","1","484000000","https://www.youtube.com/watch?v=kmiBBUmQZ_M",""
"28","6 idkill.vega.cih","1","98000000","https://www.youtube.com/watch?v=L45m1ovty5s",""
"29","MasterMind","1","400000000","https://www.youtube.com/watch?v=KSd5XjjFSec",""
"30","IV. DOOM","1","108000000","https://www.youtube.com/watch?v=NA79vPFy6g4",""
"31","Cat Food","2","206000000","https://www.youtube.com/watch?v=QoTDUtVkS6c",""
